139,0,0,red
204,22,0,red
206,0,25,red
220,0,3,red
254,0,0,red
61,13,3,red
128,24,24,red
174,32,26,red
254,0,2,red
209,23,23,red
249,255,241,white
253,251,251,white
242,233,228,white
242,233,228,white
250,240,230,white
243,239,227,white
255,237,231,white
229,224,221,white
248,249,254,white
238,228,220,white
9,0,0,black
28,29,33,black
27,32,35,black
36,29,33,black
0,0,0,black
49,54,57,black
47,47,47,black
40,39,45,black
37,37,37,black
10,18,13,black
28,28,28,black
3,91,188,blue
1,119,193,blue
0,0,254,blue
0,0,255,blue
0,0,124,blue
0,0,154,blue
